Programa,Threads,Tamaño Matriz,Tiempo,Iteracion
matrizFxC,32,512,24374,5
matrizFxT,32,512,13733,5
mmPosix,32,512,23976,5
matrizFxC,32,1024,222286,5
matrizFxT,32,1024,103200,5
mmPosix,32,1024,268157,5
matrizFxC,1,64,561,6
matrizFxT,1,64,568,6
mmPosix,1,64,1083,6
matrizFxC,1,128,4146,6
matrizFxT,1,128,3862,6
mmPosix,1,128,5247,6
matrizFxC,1,256,32447,6
matrizFxT,1,256,32816,6
mmPosix,1,256,38017,6
matrizFxC,1,512,406128,6
matrizFxT,1,512,271677,6
mmPosix,1,512,414484,6
matrizFxC,1,1024,5333692,6
matrizFxT,1,1024,2225251,6
mmPosix,1,1024,5414252,6
matrizFxC,2,64,466,6
matrizFxT,2,64,553,6
mmPosix,2,64,927,6
matrizFxC,2,128,2314,6
matrizFxT,2,128,2297,6
mmPosix,2,128,2796,6
matrizFxC,2,256,17000,6
matrizFxT,2,256,16962,6
mmPosix,2,256,19168,6
matrizFxC,2,512,198001,6
matrizFxT,2,512,137634,6
mmPosix,2,512,208858,6
matrizFxC,2,1024,2641626,6
matrizFxT,2,1024,1117659,6
mmPosix,2,1024,2807098,6
matrizFxC,4,64,394,6
matrizFxT,4,64,414,6
mmPosix,4,64,1016,6
matrizFxC,4,128,1387,6
matrizFxT,4,128,1257,6
mmPosix,4,128,1562,6
matrizFxC,4,256,8967,6
matrizFxT,4,256,8863,6
mmPosix,4,256,10234,6
matrizFxC,4,512,101633,6
matrizFxT,4,512,69699,6
mmPosix,4,512,103924,6
matrizFxC,4,1024,1382799,6
matrizFxT,4,1024,572670,6
mmPosix,4,1024,1397124,6
matrizFxC,8,64,376,6
matrizFxT,8,64,360,6
mmPosix,8,64,1375,6
matrizFxC,8,128,943,6
matrizFxT,8,128,900,6
mmPosix,8,128,1233,6
matrizFxC,8,256,4861,6
matrizFxT,8,256,5006,6
mmPosix,8,256,5666,6
matrizFxC,8,512,54358,6
matrizFxT,8,512,37818,6
mmPosix,8,512,52361,6
matrizFxC,8,1024,699647,6
matrizFxT,8,1024,301310,6
mmPosix,8,1024,703575,6
matrizFxC,16,64,544,6
matrizFxT,16,64,554,6
mmPosix,16,64,676,6
matrizFxC,16,128,777,6
matrizFxT,16,128,628,6
mmPosix,16,128,814,6
matrizFxC,16,256,2774,6
matrizFxT,16,256,2767,6
mmPosix,16,256,3210,6
matrizFxC,16,512,26543,6
matrizFxT,16,512,20039,6
mmPosix,16,512,27941,6
matrizFxC,16,1024,341184,6
matrizFxT,16,1024,159928,6
mmPosix,16,1024,334501,6
matrizFxC,32,64,732,6
matrizFxT,32,64,651,6
mmPosix,32,64,999,6
matrizFxC,32,128,895,6
matrizFxT,32,128,880,6
mmPosix,32,128,1131,6
matrizFxC,32,256,2715,6
matrizFxT,32,256,2347,6
mmPosix,32,256,2803,6
matrizFxC,32,512,23508,6
matrizFxT,32,512,13628,6
mmPosix,32,512,24303,6
matrizFxC,32,1024,241597,6
matrizFxT,32,1024,103353,6
mmPosix,32,1024,271493,6
matrizFxC,1,64,552,7
matrizFxT,1,64,564,7
mmPosix,1,64,960,7
matrizFxC,1,128,4181,7
matrizFxT,1,128,4000,7
mmPosix,1,128,5284,7
matrizFxC,1,256,32697,7
matrizFxT,1,256,33387,7
mmPosix,1,256,38487,7
matrizFxC,1,512,401449,7
matrizFxT,1,512,272391,7
mmPosix,1,512,422114,7
matrizFxC,1,1024,5308257,7
matrizFxT,1,1024,2220635,7
mmPosix,1,1024,5622469,7
matrizFxC,2,64,442,7
matrizFxT,2,64,381,7
mmPosix,2,64,918,7
matrizFxC,2,128,2404,7
matrizFxT,2,128,2281,7
mmPosix,2,128,3210,7
matrizFxC,2,256,16699,7
matrizFxT,2,256,16739,7
mmPosix,2,256,19100,7
matrizFxC,2,512,195421,7
matrizFxT,2,512,137718,7
mmPosix,2,512,204029,7
matrizFxC,2,1024,2629766,7
matrizFxT,2,1024,1121822,7
